name,datepublished ,author,description,gameplatform ,genre,aggregaterating 
Elden Ring,"Feb 25, 2022","FromSoftware, Bandai Namco Entertainment","Elden Ring is a fantasy, action and open world game with RPG elements such as stats, weapons and spells. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.","Windows PC, PlayStation 4, Xbox One, PlayStation 5, Xbox Series","Adventure, RPG",4.5
The Legend of Zelda: Breath of the Wild,"Mar 03, 2017","Nintendo, Nintendo EPD Production Group No. 3","The Legend of Zelda: Breath of the Wild is the first 3D open-world game in the Zelda series. Link can travel anywhere and be equipped with weapons and armor found throughout the world to grant him various bonuses. Unlike many games in the series, Breath of the Wild does not impose a specific order in which quests or dungeons must be completed. While the game still has environmental obstacles such as weather effects, inhospitable lands, or powerful enemies, many of them can be overcome using the right method. A lot of critics ranked Breath of the Wild as one of the best video games of all time.","Wii U, Nintendo Switch","Adventure, Puzzle",4.4
Hades,"Dec 07, 2018",Supergiant Games,"A rogue-lite hack and slash dungeon crawler in which Zagreus, son of Hades the Greek god of the dead, attempts to escape his home and his oppressive father by fighting the souls of the dead through the various layers of the ever-shifting underworld, while getting to know and forging relationships with its inhabitants.","Windows PC, Mac, PlayStation 4, Xbox One, PlayStation 5, Nintendo Switch, Xbox Series","Adventure, Brawler, Indie, RPG",4.3
Hollow Knight,"Feb 24, 2017",Team Cherry,"A 2D metroidvania with an emphasis on close combat and exploration in which the player enters the once-prosperous now-bleak insect kingdom of Hallownest, travels through its various districts, meets friendly inhabitants, fights hostile ones and uncovers the kingdom's history while improving their combat abilities and movement arsenal by fighting bosses and accessing out-of-the-way areas.","Windows PC, Mac, Linux, Nintendo Switch","Adventure, Indie, Platform",4.4
Undertale,"Sep 15, 2015","tobyfox, 8-4","A small child falls into the Underground, where monsters have long been banished by humans and are hunting every human that they find. The player controls the child as they try to make it back to the Surface through hostile environments, all the while engaging with a turn-based combat system with puzzle-solving and bullet hell elements, as well as other unconventional game mechanics.","Windows PC, Mac, Linux, PlayStation 4, Xbox One, PlayStation Vita, Nintendo Switch","Adventure, Indie, RPG, Turn Based Strategy",4.2
Minecraft,"Nov 18, 2011",Mojang Studios,"Minecraft focuses on allowing the player to explore, interact with, and modify a dynamically-generated map made of one-cubic-meter-sized blocks. In addition to blocks, the environment features plants, mobs, and items. Some activities in the game include mining for ore, fighting hostile mobs, and crafting new blocks and tools by gathering various resources found in the game. The game's open-ended model allows players to create structures, creations, and artwork on various multiplayer servers or their single-player maps. Other features include redstone circuits for logic computations and remote actions, minecarts and tracks, and a mysterious underworld called the Nether. A designated but completely optional goal of the game is to travel to a dimension called the End, and defeat the ender dragon.","Windows PC, Mac, Linux","Adventure, Simulator",4.3
Omori,"Dec 25, 2020","OMOCAT, PLAYISM","A turn-based surreal horror RPG in which a child traverses various mundane, quirky, humourous, mysterious and horrific lands with his friends in search of a missing person while confronting his past and his fears. Explore a strange world full of colorful friends and foes. When the time comes, the path you’ve chosen will determine your fate... and perhaps the fate of others as well.","Windows PC, Mac, PlayStation 4, Xbox One, Nintendo Switch, Xbox Series","Adventure, Indie, RPG, Turn Based Strategy",4.1
The Legend of Zelda: Tears of the Kingdom,"May 12, 2023",Nintendo,The Legend of Zelda: Tears of the Kingdom is the sequel to The Legend of Zelda: Breath of the Wild. The setting for Link’s adventure has been expanded to include the skies above the vast lands of Hyrule.,Nintendo Switch,Adventure,4.6
Resident Evil 4,"Mar 24, 2023","Capcom, Capcom Development Division 1","Resident Evil 4 is a remake of the 2005 original Resident Evil 4 reimagined for 2023 to bring state-of-the-art survival horror. Resident Evil 4 preserves the essence of the original game, while introducing modernized gameplay, a reimagined storyline,
and vividly detailed graphics to make this the latest survival horror game where life and death, terror and catharsis intersect.","Windows PC, PlayStation 4, PlayStation 5, Xbox Series","Adventure, Puzzle, Shooter",4.6
NieR: Automata,"Feb 23, 2017","PlatinumGames, Square Enix","NieR: Automata tells the story of androids 2B, 9S and A2 and their battle to reclaim the machine-driven dystopia overrun by powerful machines.","Windows PC, PlayStation 4","Brawler, RPG",4.3
